t,pressure_pa,altitude_m,filled
847.0,100909.5,34.64987,0
848.0,100910.25,34.587222,0
849.0,100910.5,34.566339,0
850.0,100910.25,34.587222,0
851.0,100910.75,34.545456,0
852.0,100911.5,34.482808,0
853.0,100909.75,34.628987,0
854.0,100902.75,35.213727,0
855.0,100893.5,35.98647,0
856.0,100882.25,36.926369,0
857.0,100873.25,37.678349,0
858.0,100864.75,38.388603,0
859.0,100858.25,38.931771,0
860.0,100853.25,39.349611,0
861.0,100849.25,39.683896,0
862.0,100846.0,39.95551,0
863.0,100844.5,40.080873,0
864.0,100843.5,40.164449,0
865.0,100843.0,40.206237,0
866.0,100842.5,40.248026,0
